Spawnentry,Dino,Abyssal Xiphactinus,Acrocanthosaurus,Archelon,Brachiosaurus,Concavenator,Cryolophosaurus,Deinosuchus,Deinotherium,Helicoprion,Wooly Brachiosaurus,Xiphactinus,Albertosaurus,Ceratosaurus,Edmontosaurus,Elasmotherium,Giant Jaguar,Giant Dart Frog,Majungasaurus,Monolophosaurus,Nanuqsaurus,Ornitholestes,Orolotitan,Primal Owl,Shastasaurus,Smilodon,Suchomimus,Sperm Whale,Wooly Mammoth,Aegis,Allseer Squid,Atlas Capucin,Atlas Giraffe,Forest Elephant,Grand Tortugar,Harbinger,Heracles,Hippocampus,Jiiba Dolphin,Midgard Moray,Nyoomarlin,Ostrich,Pampas Cat,Pangolin Rhinoceros,Pelagic Crocodile,Phantom Manta,Razortooth,Tyrant Scorpion,Acheroraptor,Anzu,Axelrodichthys,Dilong,Dracovenator,Genyodectes,Giant Sea Slug,Hainosaurus,Hyneria,Inostrancevia,Jiangjunosaurus,Kelenken,Lirainosaurus,Lythronax,Mapusaurus,Massospondylus,Nasutoceratops,Neimongosaurus,Neovenator,Ornithocheirus,Ouranosaurus,Pinacosaurus,Postosuchus,Prionosuchus,Pyroraptor,Saltasaurus,Scelidosaurus,Siamosaurus,Tsintaosaurus,Venenosaurus,Yangchuanosaurus,Zuniceratops,Anteosaurus,Anthracosaurus,Apatosaurus,Archaeoindris,Balaur,Banguela,Belluasaurus,Binturong,Brachauchenius,Camarasaurus,Cedarosaurus,Chungkingosaurus,Daspletosaurus,Dinocrocuta,Epanterias,Eryops,Europasaurus,Fasolasuchus,Gargoyleosaurus,Harpagornis,Herrerasaurus,Ichthyovenator,Lucanidae,Metriacanthosaurus,Narwhal,Nigersaurus,Oxalaia,Pentaceratops,Phosphatodraco,Plateosaurus,Psittacosaurus,Qianzhousaurus,Rajasaurus,Red Panda ,Rhizodus,Sauropelta,Segnosaurus,Shantungosaurus,Shunosaurus,Sinotyrannus,Squalicorax,Stygimoloch,Styracosaurus,Tarbosaurus,Thorned Dreadweaver,Torosaurus,Torvosaurus,Tyrannotitan,Vallibonavenatrix,Camel,Cat,Exotic Bird,Gecko,Hare,Owl,Snowy Owl,Snow Leopard,Raven,Mountain Goat,Acrophyseter,Anomalocaris,Arganodus,Arowana,Broadtooth Mako Shark,Chinlea,Cryptoclidus,Dinichthys,Eastmanosteus,Fiddler Crab,Giant Octopus,Giant Vampire Squid,Goliath Tigerfish,Goonch Catfish,Great Hammerhead Shark,Great White Shark,Hydrarchos,Hydrotherosaurus,Kronosaurus,Leopard Seal,Lungfish,Ophthalmosaurus,Orca,Perch,Pike,Piraiba Catfish,Protostega,Saltwater Crocodile,Shonisaurus,Tiger Shark,Titan Sailfish,Tylosaurus,Walrus,Zygophyseter
SE Dunes,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,r,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesDunes_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Oasis,EntryWeight,,,,0.03,,,,,,,,,r,0.02,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.04,,,r,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,0.025,,,,,0.03,,0.04,,,,,,0.03,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,r,,0.03,0.02,,0.015,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesOasis_C,Limit,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,0.02,,0.03,,,,,,0.03,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,0.02,0.015,,0.015,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
Swamp,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesSwamp_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grassland,EntryWeight,,,,,,,,,,,,,,,,,,r,,,0.045,,,,,,,,,,,,,,,,,,,,r,,,,,,,,r,,,,,,,,,,,,r,,,,,r,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.025,,r,r,,0.025,,r,,,,,0.03,,,,,,,,,,,,,,,,,,,,,r,,r,r,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesGrassland_C,Limit,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.025,,,,,0.025,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Badlands,EntryWeight,,,,,,,,,,,,,,,,,,0.02,,,r,,r,,,r,,,,,,,,,,,,,,,,,0.2,,,,,0.02,,,,,0.035,,,,,,,,,,,r,,0.04,,,,,,,r,,,,,,,0.03,,,,,,,,,,,,,,,,0.025,,r,,,,,,,,,,,,,,,,,,,0.025,,0.025,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesBadlands_C,Limit,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.02,,,,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,0.025,,0.025,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesSnow_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Canyon,EntryWeight,,0.04,,,,,,,,,,,,,,0.034,,,,,r,,r,,,r,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,r,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,0.03,,,,0.035,,,,,,,,,0.025,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesCanyons_C,Limit,,0.025,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.035,,,,,,,,,0.025,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Mountain,EntryWeight,,0.04,,,,,,,,,,,0.03,,,0.034,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.035,,,,,,,,,,,,,0.04,,,,,,r,,,,,,,r,0.03,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesMountain_C,Limit,,0.025,,,,,,,,,,,0.02,,,0.02,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Green Desert,EntryWeight,,,,0.03,,,,,,,,,,0.03,,,,,0.08,,,,,,,,,,,,,,0.02,,,0.04,,,,,r,,r,,,r,,,0.05,,,,,,,,,,,,,,0.06,,,,,0.065,,,,,0.075,0.03,,,0.025,,,,,0.025,,,,,,,,0.03,0.025,,,,,,,,,,,,0.025,,,,,,0.025,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesGreenDesert_C,Limit,,,,0.02,,,,,,,,,,0.02,,,,,0.03,,,,,,,,,,,,,,0.02,,,0.025,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.04,,,,,0.05,,,,,0.03,0.02,,,0.02,,,,,0.025,,,,,,,,0.03,0.025,,,,,,,,,,,,0.025,,,,,,0.025,,,,,,,,,,,,,,,,,,,,0.03,,0.02,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Shoreline,EntryWeight,,,,,,0.045,,,,0.023,,,,,0.07,,,,,0.03,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesSnowShoreline_PGM_C,Limit,,,,,,0.045,,,,0.023,,,,,0.05,,,,,0.03,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Island,EntryWeight,,0.07,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,r,0.07,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.07,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,0.07,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesMonsterIsland_C,Limit,,0.05,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,0.05,,,,,,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Chamber,EntryWeight,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.07,,,,,,0.05,,,0.05,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.07,,,0.03,,,,,,,,,,,,,,,0.07,,,,,,,0.07,,,,0.07,,,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI_DinoSpawnEntries_ElementalChamber_C,Limit,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,0.05,,,,,,0.04,,,0.04,,,,,0.06,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.05,,,0.03,,,,,,,,,,,,,,,0.05,,,,,,,0.05,,,,0.05,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI Bog,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,r,,,,,,,,,,,,,,,,,,0.07,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI_DinoSpawnEntries_Bog_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
