GFMockatoo_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    9 Wild(   3 female,    0 babies,    4 latent)
Moth_Character_BP_C                              0 Tamed(   0 female,    0 babies) /    5 Wild(   1 female,    0 babies,    3 latent)
Gecko_Character_BP_C                             0 Tamed(   0 female,    0 babies) /   17 Wild(   0 female,    0 babies,   16 latent)
Majunga_Character_BP_C                           1 Tamed(   1 female,    0 babies) /   13 Wild(   3 female,    1 babies,    1 latent)
SulfurTitan_Character_BP_C                       0 Tamed(   0 female,    0 babies) /    4 Wild(   3 female,    0 babies,    1 latent)
Piraiba_Character_bp_C                           0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
ThoraxSpider_Character_BP_C                      0 Tamed(   0 female,    0 babies) /   15 Wild(  11 female,    1 babies,    1 latent)
Jackrabbit_Character_BP_C                        0 Tamed(   0 female,    0 babies) /   20 Wild(   9 female,    4 babies,    2 latent)
Lystro_Character_BP_C                            0 Tamed(   0 female,    0 babies) /   23 Wild(   5 female,    2 babies,   12 latent)
Manta_Character_BP_C                             0 Tamed(   0 female,    0 babies) /   28 Wild(   2 female,    0 babies,   24 latent)
camelsaurus_Character_BP_C                       0 Tamed(   0 female,    0 babies) /   15 Wild(   4 female,    1 babies,    7 latent)
AC2Suchomimus_Character_bp_C                     0 Tamed(   0 female,    0 babies) /   10 Wild(   5 female,    3 babies,    2 latent)
Hippo_Pygmy_Character_BP_C                       0 Tamed(   0 female,    0 babies) /   17 Wild(   3 female,    0 babies,    8 latent)
Bubblefish_C                                     0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Cnidaria_Character_BP_Tameable_C                 0 Tamed(   0 female,    0 babies) /   21 Wild(  11 female,    1 babies,    3 latent)
Monkey_Character_BP_C                            0 Tamed(   0 female,    0 babies) /    7 Wild(   1 female,    0 babies,    5 latent)
Procoptodon_Character_BP_C                       0 Tamed(   0 female,    0 babies) /   11 Wild(   4 female,    1 babies,    6 latent)
Raptor_Character_BP_C                            0 Tamed(   0 female,    0 babies) /   12 Wild(   3 female,    3 babies,    6 latent)
Sheep_Character_BP_C                             0 Tamed(   0 female,    0 babies) /   10 Wild(   2 female,    0 babies,    6 latent)
AppalachianIguanodon_Character_BP_C              0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
Koolasuchus_Character_BP_C                       0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Archelon_Character_BP_ASA_C                      0 Tamed(   0 female,    0 babies) /    6 Wild(   2 female,    1 babies,    2 latent)
Iguanodon_Character_BP_C                         0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Ouranosaurus_Character_BP_C                      0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
Dolphin_Character_BP_C                           0 Tamed(   0 female,    0 babies) /   11 Wild(   4 female,    0 babies,    6 latent)
Giant_Isopod_Character_BP_C                      0 Tamed(   0 female,    0 babies) /   26 Wild(   7 female,    1 babies,   16 latent)
NesonektrisV_CharacterBP_C                       0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
ScorchedTitanosaur_Character_BP_C                0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
Gandakasia_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Thylacoleo_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
MegaParaxenisaurus_Character_BP_C                0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
Coel_Character_BP_C                              0 Tamed(   0 female,    0 babies) /   31 Wild(   0 female,    0 babies,   31 latent)
Atlasuchus_Character_BP_C                        0 Tamed(   0 female,    0 babies) /   14 Wild(   0 female,    0 babies,   13 latent)
Doed_Character_BP_C                              0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Kaprosuchus_Character_BP_C                       0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    3 latent)
Turtle_Character_BP_SEReborn_C                   0 Tamed(   0 female,    0 babies) /    9 Wild(   4 female,    1 babies,    2 latent)
Hyaenodon_Character_BP_C                         0 Tamed(   0 female,    0 babies) /    7 Wild(   2 female,    2 babies,    1 latent)
Paraxenisaurus_Character_BP_C                    0 Tamed(   0 female,    0 babies) /    8 Wild(   2 female,    1 babies,    4 latent)
TerrorBird_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
Carno_Character_BP_C                             0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Toad_Character_BP_C                              0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    2 latent)
Mudshieldfish_Character_C                        0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
Salmon_Character_BP_C                            0 Tamed(   0 female,    0 babies) /    7 Wild(   0 female,    0 babies,    7 latent)
DShantungosaurus_Character_BP_C                  0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    3 latent)
Tyrannomimus_Character_BP_C                      0 Tamed(   0 female,    0 babies) /    4 Wild(   0 female,    0 babies,    4 latent)
Ankylo_Character_BP_C                            0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
MaterpiscisTSW_Character_BP_C                    0 Tamed(   0 female,    0 babies) /    4 Wild(   0 female,    0 babies,    2 latent)
ShoulderDragon_Character_BP_Summer_C             0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Spino_Character_BP_C                             0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    1 latent)
AppalachianCarno_Character_BP_C                  0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Enhydriodon_Character_BP_Young_C                 0 Tamed(   0 female,    0 babies) /    4 Wild(   1 female,    0 babies,    1 latent)
Otter_Character_BP_C                             0 Tamed(   0 female,    0 babies) /    3 Wild(   1 female,    0 babies,    2 latent)
BrownTrout_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Hesperornis_Character_BP_C                       0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
Massospondylus_Character_BP_C                    0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Skjaldastordr_Anky_Character_BP_C                0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Enhydriodon_Character_BP_Adult_C                 0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
ProtoTSW_Character_BP_C                          0 Tamed(   0 female,    0 babies) /    4 Wild(   1 female,    0 babies,    1 latent)
ShadTyrannotitan_Character_BP_C                  0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
GreaterClayAnkylo_Character_BP_C                 0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    2 latent)
Tarchia_Character_BP_GSC_C                       0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
Baryonyx_Character_BP_C                          0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
Dugong_C                                         0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
ClayLeedsichthys_Character_BP_C                  0 Tamed(   0 female,    0 babies) /   21 Wild(   6 female,    3 babies,   10 latent)
Basilosaurus_Character_BP_C                      0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    1 latent)
Pegomastax_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    4 Wild(   1 female,    1 babies,    0 latent)
QueenAnt_Character_BP_Tameable_C                 0 Tamed(   0 female,    0 babies) /   43 Wild(   0 female,    0 babies,    1 latent)
Tylo_Character_bp_C                              0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    2 latent)
MoroTylosaurus_character_bp_C                    0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    3 latent)
Xiphiorhynchus_Character_BP_C                    0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    0 latent)
ImprovedPhoenix_Character_BP_C                   0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
MorosGigantophis_Character_BP_C                  0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
Carcha_Character_BP_C                            0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
Equus_Character_BP_C                             1 Tamed(   0 female,    0 babies) /    0 Wild(   0 female,    0 babies,    0 latent)
Galvarex_Character_BP_C                          0 Tamed(   0 female,    0 babies) /    8 Wild(   4 female,    1 babies,    0 latent)
Glaucus_Character_BP_C                           0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
Fasola_Character_BP_C                            0 Tamed(   0 female,    0 babies) /   13 Wild(   4 female,    1 babies,    0 latent)
Saber_Character_BP_C                             0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
Cockatrice_Character_BP_C                        0 Tamed(   0 female,    0 babies) /   13 Wild(   7 female,    1 babies,    0 latent)
Scorpion_Character_BP_C                          0 Tamed(   0 female,    0 babies) /  108 Wild(  57 female,   26 babies,    0 latent)
Dracovenator_Character_BP_C                      0 Tamed(   0 female,    0 babies) /   40 Wild(  24 female,    8 babies,    0 latent)
BB_Larvae_Character_Bp_C                         0 Tamed(   0 female,    0 babies) /   19 Wild(   7 female,    3 babies,    0 latent)
PA_Empiro_Character_BP_C                         0 Tamed(   0 female,    0 babies) /    2 Wild(   1 female,    0 babies,    0 latent)
EdmontoniaAA_Character_BP_C                      0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
Argentino_Character_BP_C                         0 Tamed(   0 female,    0 babies) /    2 Wild(   2 female,    0 babies,    0 latent)
Deinocheirus_Character_BP_C                      0 Tamed(   0 female,    0 babies) /    5 Wild(   1 female,    2 babies,    0 latent)
AHammerhead_Character_bp_C                       0 Tamed(   0 female,    0 babies) /    2 Wild(   1 female,    1 babies,    0 latent)
Inostran_Character_BP_C                          1 Tamed(   0 female,    0 babies) /    0 Wild(   0 female,    0 babies,    0 latent)
Deinocheirus_Character_BP_GSC_C                  0 Tamed(   0 female,    0 babies) /    3 Wild(   2 female,    2 babies,    0 latent)
Inostrancevia_Character_BP_GSC_C                 1 Tamed(   0 female,    0 babies) /    0 Wild(   0 female,    0 babies,    0 latent)
Pakasuchus_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    3 Wild(   1 female,    0 babies,    0 latent)
Dimetro_Character_BP_C                           0 Tamed(   0 female,    0 babies) /    2 Wild(   1 female,    0 babies,    0 latent)
PA_Ledu_Character_BP_C                           0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
Smilodon_Character_BP_C                          0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
HornedNurse_Character_bp_C                       0 Tamed(   0 female,    0 babies) /    5 Wild(   1 female,    0 babies,    0 latent)
DungBeetle_Character_BP_C                        0 Tamed(   0 female,    0 babies) /   24 Wild(   0 female,    0 babies,    0 latent)
BB_Female_Character_BP_C                         0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
BB_Male_Character_BP_C                           0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
SpiderS_Character_BP_Juvenile_C                  0 Tamed(   0 female,    0 babies) /   20 Wild(  10 female,   20 babies,    0 latent)
Mantis_Character_BP_C                            0 Tamed(   0 female,    0 babies) /   17 Wild(   9 female,    6 babies,    0 latent)
Moro_Livyatan_Character_BP_C                     0 Tamed(   0 female,    0 babies) /    1 Wild(   1 female,    0 babies,    0 latent)
Dinocrocuta_Character_BP_C                       0 Tamed(   0 female,    0 babies) /  122 Wild(  66 female,   17 babies,    0 latent)
AppalachianHyaenodon_BP_C                        0 Tamed(   0 female,    0 babies) /    3 Wild(   1 female,    0 babies,    0 latent)
Gigant_Character_BP_C                            0 Tamed(   0 female,    0 babies) /    9 Wild(   2 female,    2 babies,    0 latent)
Deathworm_Character_BP_Tameable_C                0 Tamed(   0 female,    0 babies) /    8 Wild(   5 female,    0 babies,    0 latent)
MegaDracovenator_Character_BP_C                  0 Tamed(   0 female,    0 babies) /    3 Wild(   3 female,    0 babies,    0 latent)
Nycta_Character_BP_Imperator_C                   0 Tamed(   0 female,    0 babies) /   12 Wild(   6 female,    1 babies,    0 latent)
Suchomimus_Character_BP_Female_C                 0 Tamed(   0 female,    0 babies) /    2 Wild(   2 female,    1 babies,    0 latent)
MegaRaptor_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    0 latent)
BionicRaptor_Character_BP_C                      0 Tamed(   0 female,    0 babies) /    2 Wild(   1 female,    1 babies,    0 latent)
GreaterClayPachyrhino_Character_BP_Child_C       1 Tamed(   0 female,    0 babies) /    0 Wild(   0 female,    0 babies,    0 latent)
Inostrancevia_Character_BP_C                     1 Tamed(   0 female,    0 babies) /    0 Wild(   0 female,    0 babies,    0 latent)
Jugbug_Water_Character_BP_Tameable_C             0 Tamed(   0 female,    0 babies) /   51 Wild(  22 female,    0 babies,    0 latent)
Jugbug_Oil_Character_BP_Tameable_C               0 Tamed(   0 female,    0 babies) /   39 Wild(  20 female,    0 babies,    0 latent)
FlyingAnt_Character_BP_Minion_C                  0 Tamed(   0 female,    0 babies) /    6 Wild(   0 female,    0 babies,    0 latent)
Ant_Character_BP_Minion_C                        0 Tamed(   0 female,    0 babies) /   24 Wild(   0 female,    0 babies,    0 latent)

 These results have been copied to your clipboard.
