Spawnentry,Dino,Abyssal Xiphactinus,Acrocanthosaurus,Archelon,Brachiosaurus,Concavenator,Cryolophosaurus,Deinosuchus,Deinotherium,Helicoprion,Wooly Brachiosaurus,Xiphactinus,Albertosaurus,Ceratosaurus,Edmontosaurus,Elasmotherium,Giant Jaguar,Giant Dart Frog,Majungasaurus,Monolophosaurus,Nanuqsaurus,Ornitholestes,Orolotitan,Primal Owl,Shastasaurus,Smilodon,Sperm Whale,Wooly Mammoth,Aegis,Atlas Capucin,Forest Elephant,Grand Tortugar,Harbinger,Heracles,Hippocampus,Jiiba Dolphin,Midgard Moray,Nyoomarlin,Pangolin Rhinoceros,Pelagic Crocodile,Phantom Manta,Tyrant Scorpion,Acheroraptor,Anzu,Axelrodichthys,Baculites,Dilong,Dracovenator,Genyodectes,Giant Sea Slug,Hainosaurus,Hyneria,Inostrancevia,Jiangjunosaurus,Kelenken,Lirainosaurus,Lualabaea,Lythronax,Mapusaurus,Massospondylus,Nasutoceratops,Neimongosaurus,Neovenator,Ornithocheirus,Paraxenisaurus,Ouranosaurus,Pinacosaurus,Postosuchus,Prionosuchus,Pyroraptor,Saltasaurus,Scelidosaurus,Siamosaurus,Tsintaosaurus,Venenosaurus,Yangchuanosaurus,Zuniceratops,Anteosaurus,Anthracosaurus,Apatosaurus,Archaeoindris,Australovenator,Austroraptor,Balaur,Banguela,Becklespinax,Belluasaurus,Binturong,Brachauchenius,Camarasaurus,Cedarosaurus,Chungkingosaurus,Daspletosaurus,Deltadromeus,Dinocrocuta,Epanterias,Eryops,Europasaurus,Fasolasuchus,Gargoyleosaurus,Gigantspinosaurus,Gigatitan,Harpagornis,Herrerasaurus,Ichthyovenator,Lucanidae,Metriacanthosaurus,Narwhal,Nigersaurus,Oxalaia,Pentaceratops,Phosphatodraco,Plateosaurus,Psittacosaurus,Qianzhousaurus,Rajasaurus,Red Panda ,Rhizodus,Sauropelta,Segnosaurus,Shantungosaurus,Shunosaurus,Sinotyrannus,Squalicorax,Stygimoloch,Styracosaurus,Suchomimus,Tarbosaurus,Thorned Dreadweaver,Torosaurus,Torvosaurus,Tyrannotitan,Vallibonavenatrix,Camel,Exotic Bird,Gecko,Hare,Owl,Snowy Owl,Snow Leopard,Mountain Goat,Acrophyseter,Anomalocaris,Arganodus,Arowana,Broadtooth Mako Shark,Chinlea,Cryptoclidus,Dinichthys,Eastmanosteus,Fiddler Crab,Giant Octopus,Giant Vampire Squid,Goliath Tigerfish,Goonch Catfish,Great White Shark,Hydrarchos,Hydrotherosaurus,Kronosaurus,Leopard Seal,Lungfish,Ophthalmosaurus,Orca,Perch,Pike,Piraiba Catfish,Protostega,Saltwater Crocodile,Shonisaurus,Tiger Shark,Titan Sailfish,Tylosaurus,Walrus,Zygophyseter,Forest Wyvern,Royal Phoenix,Meraxes Vastator,Diploceraspis,Dryosaurus,Hector's Dolphin,Ichthyostega,Onchopristis,Pakasuchus,Platyopo,Whatcheeria,Aurochs,Bobcat,Bos,Corvus,Dryptosaurus,Hammerhead,Homotherium,Kolponomos,Lycoteuthis,Maiabalaena,Mihirung,Moa,Palaeeudyptes,Parrot,Sivatherium,Timber Wolf,Alamodactylus,Angaturama,Carnoraptor,Chilantaisaurus,Coelophysis,Geosternbergia,Kryptops,Padillasaurus,Skorpiovenator,Thalassodromeus,Achillobator,Arapaima,Cyprus Dwarf Hippo,Dakosaurus
Mountain,EntryWeight,,r,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,r,,,,,,,,,,,,,,r,,r,,,,r,,,r,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesMountain_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Dunes,EntryWeight,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,r,,,,,r,,,,,r,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesDunes_C,Limit,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,
SE Oasis,EntryWeight,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,0.15,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,r,,,,,,,r,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,0.04,0.05,,,0.05,,,,,,,,,0.05,,,,,r,
SE_DinoSpawnEntriesOasis_C,Limit,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.03,0.05,,,0.05,,,,,,,,,0.05,,,,,,
Swamp,EntryWeight,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.03,
DinoSpawnEntriesSwamp_C,Limit,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.03,
Grassland,EntryWeight,,,,,,,,,,,,,,,,,,r,0.05,,0.02,0.05,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,0.15,,,,r,,0.06,,0.04,r,,,,r,,,,,,,0.03,,,,,,,,,,,,,,,,,0.07,0.03,,,r,r,,,,r,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,r,,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,,,,,,r,,,,,,,,,,
DinoSpawnEntriesGrassland_C,Limit,,,,,,,,,,,,,,,,,,,0.05,,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.05,,0.04,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Badlands,EntryWeight,,0.04,,,,,,,,,,,,,,,,,,,,,r,,0.05,,,,,,,,,,,,,0.05,,,,,,,,0.05,,,,,,,,,,,,,,r,,r,,,,r,,,,,,,,,,r,,,,,,,,,,,,,,,,,0.03,0.03,,,,0.03,,,,,0.05,,,0.05,,,,,,,,,,,,r,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,0.04,,,0.06,,,,,,,,,,,,,,,,,,,,,,,
SE_DinoSpawnEntriesBadlands_C,Limit,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,0.03,,,,,0.05,,,0.05,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
Snow,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoSpawnEntriesSnow_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Canyon,EntryWeight,,,,,,,,,,,,,,,,,,,,,r,,r,,0.05,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,r,,,,,,0.05,,,,0.035,,,,0.07,r,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.06,,,,,,,,,,,,,,,,,,0.05,,0.03,,,
