DinoName,Info,FromClass,DinoName,ToClass1,ChanceTo1,DinoName,ToClass2,ChanceTo2,DinoName,ToClass3,ChanceTo3,DinoName,ToClass4,ChanceTo4,DinoName,ToClass5,ChanceTo5,DinoName,ToClass6,ChanceTo6,DinoName,ToClass7,ChanceTo7
Alpha Evo Mosa,replaces vanilla fully,/PA_EVO_Pack_02/Dinos/EVO_Mosa/Alpha/EVO_Alpha_Mosa_Character_BP.EVO_Alpha_Mosa_Character_BP,Alpha Evo Mosa,/PA_EVO_Pack_02/Dinos/EVO_Mosa/Alpha/EVO_Alpha_Mosa_Character_BP.EVO_Alpha_Mosa_Character_BP,50,Alpha Mosa,/Game/PrimalEarth/Dinos/Mosasaurus/Mosa_Character_BP_Mega.Mosa_Character_BP_Mega,50,,,,,,,,,,,,,,,
Evo Cave Mosa,replaces vanilla fully,/PA_EVO_Pack_02/Dinos/EVO_Mosa/Alpha/EVO_Cave_Mosa_Character_BP.EVO_Cave_Mosa_Character_BP,Cave Mosa,/Game/PrimalEarth/Dinos/Mosasaurus/Mosa_Character_BP_Cave.Mosa_Character_BP_Cave,100,,,,,,,,,,probably works?,,,,,,,,
Alpha Evo Cave Mosa,replaces vanilla fully,/PA_EVO_Pack_02/Dinos/EVO_Mosa/Alpha/EVO_Cave_Alpha_Mosa_Character_BP.EVO_Cave_Alpha_Mosa_Character_BP,Alpha Cave Mosa,/Game/PrimalEarth/Dinos/Mosasaurus/Mosa_Character_BP_Mega_Cave.Mosa_Character_BP_Mega_Cave,100,,,,,,,,,,probably works?,,,,,,,,
Evo Bronto,replaces vanilla fully,/PA_EVO_Pack_03/Dinos/EVO_Bronto/EVO_Bronto_Character_BP.EVO_Bronto_Character_BP_C,Vanilla Bronto,/Game/PrimalEarth/Dinos/Sauropod/Sauropod_Character_BP.Sauropod_Character_BP,50,Appa Bronto,/KalugasAppalachianDenizens/Dinos/Dinosaurs/AppalachianBrontosairis/ASauropod_Character_BP.ASauropod_Character_BP,50,,,,,,,,,,,,,,,
Evo Therizino,replaces vanilla fully,/PA_EVO_Pack_03/Dinos/EVO_Therizino/EVO_Therizino_Character_BP.EVO_Therizino_Character_BP,Evo Therizino,/PA_EVO_Pack_03/Dinos/EVO_Therizino/EVO_Therizino_Character_BP.EVO_Therizino_Character_BP,50,Vanilla Therizino,/Game/PrimalEarth/Dinos/Therizinosaurus/Therizino_Character_BP.Therizino_Character_BP,50,,,,,,,,,,,,,,,
(Appa) Elasmotherium,25% of wooly,/KalugasAppalachianDenizens/Dinos/Mammals/Elasmotherium/Elasmotherium_Character_BP.Elasmotherium_Character_BP,Appa Wooly,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_WoollyRhino/AppalachianRhino_Character_BP.AppalachianRhino_Character_BP,100,,,,,,,,,,no idea,,,,,,,,
(Appa) Caribou,25% of megaloceros,/KalugasAppalachianDenizens/Dinos/Mammals/Caribou/Caribou_Character_BP.Caribou_Character_BP,Appa Megaloceros,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Megaloceros/AppalachianMegaloceros_Character_BP.AppalachianMegaloceros_Character_BP,100,,,,,,,,,,no idea,,,,,,,,
Small Thorax,30% of big thorax,/CyrusJumpingSpider/Content/Spider/Jumper/CuteThoraxSpider_Character_BP.CuteThoraxSpider_Character_BP,Thorax Spider,/CyrusJumpingSpider/Content/Spider/Jumper/ThoraxSpider_Character_BP.ThoraxSpider_Character_BP,100,,,,,,,,,,,,,,,,,,
Istiophorus,replaces multiple fish,/Atlas_Fish/Marlin/Istiophorus_Character_BP.Istiophorus_Character_BP,Vanilla Coelacanth,/Game/PrimalEarth/Dinos/Coelacanth/Coel_Character_BP.Coel_Character_BP,100,,,,,,,,,,,,,,,,,,
Aberrant Istiophorus,replaces multiple fish,/Atlas_Fish/Marlin/Istiophorus_Character_BP_Aberrant.Istiophorus_Character_BP_Aberrant,Vanilla Aberrant Coelacanth,/Game/PrimalEarth/Dinos/Coelacanth/Coel_Character_BP_Aberrant.Coel_Character_BP_Aberrant,100,,,,,,,,,,,,,,,,,,
Vanilla Parasaur,set a 5% chance for tek,/Game/PrimalEarth/Dinos/Para/Para_Character_BP.Para_Character_BP,Vanilla Parasaur,/Game/PrimalEarth/Dinos/Para/Para_Character_BP.Para_Character_BP,95,Appa Parasaur,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Parasaur/AppalachianPara_Character_BP.AppalachianPara_Character_BP,25,Tek Parasaur,/Game/PrimalEarth/Dinos/Para/BionicPara_Character_BP.BionicPara_Character_BP,5,,,,,,,,,,,,
Vanilla Quetzal,set a 5% chance for tek,/Game/PrimalEarth/Dinos/Quetzalcoatlus/Quetz_Character_BP.Quetz_Character_BP,Vanilla Quetzal,/Game/PrimalEarth/Dinos/Quetzalcoatlus/Quetz_Character_BP.Quetz_Character_BP,95,Tek Quetzal,/Game/PrimalEarth/Dinos/Quetzalcoatlus/BionicQuetz_Character_BP.BionicQuetz_Character_BP,5,,,,,,,,,,,,,,,
Vanilla Raptor,set a 5% chance for tek,/Game/PrimalEarth/Dinos/Raptor/Raptor_Character_BP.Raptor_Character_BP,Vanilla Raptor,/Game/PrimalEarth/Dinos/Raptor/Raptor_Character_BP.Raptor_Character_BP,95,Tek Raptor,/Game/PrimalEarth/Dinos/Raptor/BionicRaptor_Character_BP.BionicRaptor_Character_BP,5,,,,,,,,,,,,,,,
Vanilla Stego,set a 5% chance for tek,/Game/PrimalEarth/Dinos/Stego/Stego_Character_BP.Stego_Character_BP,Vanilla Stego,/Game/PrimalEarth/Dinos/Stego/Stego_Character_BP.Stego_Character_BP,70,Appa Stego,/KalugasAppalachianDenizens/Dinos/Dinosaurs/AppalachianStegosaurus/AppalachianStego_Character_BP.AppalachianStego_Character_BP,25,Tek Stego,/Game/PrimalEarth/Dinos/Stego/BionicStego_Character_BP.BionicStego_Character_BP,5,,,,,,,,,,,,
Vanilla Trike,set a 5% chance for tek,/Game/PrimalEarth/Dinos/Trike/Trike_Character_BP.Trike_Character_BP,Vanilla Trike,/Game/PrimalEarth/Dinos/Trike/Trike_Character_BP.Trike_Character_BP,70,Appa Trike,/KalugasAppalachianDenizens/Dinos/Dinosaurs/AppalachianTriceratops/AppalachianTrike_Character_BP.AppalachianTrike_Character_BP,25,Tek Trike,/Game/PrimalEarth/Dinos/Trike/BionicTrike_Character_BP.BionicTrike_Character_BP,5,,,,,,,,,,,,
Vanilla Ab Megalania,replace the ones in wyv cave,/Game/PrimalEarth/Dinos/Megalania/Megalania_Character_BP_Aberrant.Megalania_Character_BP_Aberrant,Vanilla Megalania,/Game/PrimalEarth/Dinos/Megalania/Megalania_Character_BP.Megalania_Character_BP,100,,,,,,,,,,,,,,,,,,
Appa Equus,50%,/KalugasAppalachianDenizens/Dinos/Mammals/WildHorse/Pinto/AppalachianEquus_Character_BP.AppalachianEquus_Character_BP,Appa Equus,/KalugasAppalachianDenizens/Dinos/Mammals/WildHorse/Pinto/AppalachianEquus_Character_BP.AppalachianEquus_Character_BP,40,Vanilla Equus,/Game/PrimalEarth/Dinos/Equus/Equus_Character_BP.Equus_Character_BP,60,,,,,,,,,,,,,,,
Appa Bison,70%,/KalugasAppalachianDenizens/Dinos/Mammals/AppalachianBison/AppalachianBison_Character_BP.AppalachianBison_Character_BP,Appa Bison,/KalugasAppalachianDenizens/Dinos/Mammals/AppalachianBison/AppalachianBison_Character_BP.AppalachianBison_Character_BP,40,Vanilla Bison,/Game/ASA/Dinos/Bison/Bison_Character_BP.Bison_Character_BP,60,,,,,,,,,,,,,,,
Appa Carno,50%,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Carnotaurus/AppalachianCarno_Character_BP.AppalachianCarno_Character_BP,Appa Carno,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Carnotaurus/AppalachianCarno_Character_BP.AppalachianCarno_Character_BP,40,Vanilla Carno,/Game/PrimalEarth/Dinos/Carno/Carno_Character_BP.Carno_Character_BP,60,,,,,,,,,,,,,,,
Appa Cerato,58%,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Cerato/AppalachianCeratosaurus_Character_BP.AppalachianCeratosaurus_Character_BP,Appa Cerato,/KalugasAppalachianDenizens/Dinos/Dinosaurs/Appalachian_Cerato/AppalachianCeratosaurus_Character_BP.AppalachianCeratosaurus_Character_BP,40,Vanilla Cerato,/Game/ASA/Dinos/Ceratosaurus/Dinos/Ceratosaurus_Character_BP_ASA.Ceratosaurus_Character_BP_ASA,60,,,,,,,,,,,,,,,
Appa Chalico,30%,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Chalicotherium/AppalachianChalico_Character_BP.AppalachianChalico_Character_BP,Appa Chalico,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Chalicotherium/AppalachianChalico_Character_BP.AppalachianChalico_Character_BP,50,Vanilla Chalico,/Game/PrimalEarth/Dinos/Chalicotherium/Chalico_Character_BP.Chalico_Character_BP,50,,,,,,,,,,,,,,,
Appa Direbear,40%,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_CaveBear/AppalachianDirebear_Character_BP.AppalachianDirebear_Character_BP,Appa Direbear,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_CaveBear/AppalachianDirebear_Character_BP.AppalachianDirebear_Character_BP,40,Vanilla Dire Bear,/Game/PrimalEarth/Dinos/Direbear/Direbear_Character_BP.Direbear_Character_BP_C,60,,,,,,,,,,,,,,,
Vanilla Direwolf,40%,/Game/PrimalEarth/Dinos/Direwolf/Direwolf_Character_BP.Direwolf_Character_BP,Appa Direwolf,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_Direwolf/AppalachianDirewolf_Character_BP.AppalachianDirewolf_Character_BP,25,Vanilla Direwolf,/Game/PrimalEarth/Dinos/Direwolf/Direwolf_Character_BP.Direwolf_Character_BP,75,,,,,,,,,,,,,,,
Appa Hyae,50%,/KalugasAppalachianDenizens/Dinos/Mammals/AppalachianHyaenodon/AppalachianHyaenodon_BP.AppalachianHyaenodon_BP,Appa Hyae,/KalugasAppalachianDenizens/Dinos/Mammals/AppalachianHyaenodon/AppalachianHyaenodon_BP.AppalachianHyaenodon_BP,40,Vanilla Hyae,/Game/PrimalEarth/Dinos/Hyaenodon/Hyaenodon_Character_BP.Hyaenodon_Character_BP,60,,,,,,,,,,,,,,,
Vanilla Mammoth,40%,/Game/PrimalEarth/Dinos/Mammoth/Mammoth_Character_BP.Mammoth_Character_BP,Appa Mammoth,/KalugasAppalachianDenizens/Dinos/Mammals/AppalachianMammoth/AppalachianMammoth_Character_BP.AppalachianMammoth_Character_BP,30,Vanilla Mammoth,/Game/PrimalEarth/Dinos/Mammoth/Mammoth_Character_BP.Mammoth_Character_BP,70,,,,,,,,,,,,,,,
Appa Rhino,25% ???,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_WoollyRhino/AppalachianRhino_Character_BP.AppalachianRhino_Character_BP,Appa Rhino,/KalugasAppalachianDenizens/Dinos/Mammals/Appalachian_WoollyRhino/AppalachianRhino_Character_BP.AppalachianRhino_Character_BP,50,Vanilla Rhino,/Game/PrimalEarth/Dinos/WoollyRhino/Rhino_Character_BP.Rhino_Character_BP,50,,,,,,,,,,,,,,,
Vanilla Fire Wyvern,convert to buff form,/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Fire.Wyvern_Character_BP_Fire,Twee Fire Wyvern,/Tristans-WyvernTweaks/Dinos/Wyvern/TT-Wyvern_Character_BP_Fire.TT-Wyvern_Character_BP_Fire,100,,,,,,,,,,,,,,,,,,
Vanilla Poison Wyvern,convert to buff form,/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Poison.Wyvern_Character_BP_Poison,Twee Poison Wyvern,/Tristans-WyvernTweaks/Dinos/Wyvern/TT-Wyvern_Character_BP_Poison.TT-Wyvern_Character_BP_Poison,100,,,,,,,,,,,,,,,,,,
Vanilla Lightning Wyvern,convert to buff form,/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Lightning.Wyvern_Character_BP_Lightning,Twee Lightning Wyvern,/Tristans-WyvernTweaks/Dinos/Wyvern/TT-Wyvern_Character_BP_Lightning.TT-Wyvern_Character_BP_Lightning,100,,,,,,,,,,,,,,,,,,
Vanilla Ice Wyvern,convert to buff form,/Game/ASA/Dinos/IceWyvern/Wyvern_Character_BP_Ice.Wyvern_Character_BP_Ice,Twee Ice Wyvern,/Tristans-WyvernTweaks/Dinos/Wyvern/TT-Wyvern_Character_BP_Ice.TT-Wyvern_Character_BP_Ice,100,,,,,,,,,,,,,,,,,,
Giant Isopod,60% of trilo,/giant_isopod_mod/creatures/Giant_Isopod_Character_BP.Giant_Isopod_Character_BP,Giant Isopod,/giant_isopod_mod/creatures/Giant_Isopod_Character_BP.Giant_Isopod_Character_BP,40,Trilobite,/Game/PrimalEarth/Dinos/Trilobite/Trilobite_Character.Trilobite_Character,60,,,,,,,no idea,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
X,cut off line,X,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Vanilla Dire Polar Bear,,/Game/Mods/Ragnarok/Custom_Assets/Dinos/Polar_Bear/Polar_Bear.Polar_Bear,Vanilla Dire Bear,/Game/PrimalEarth/Dinos/Direbear/Direbear_Character_BP.Direbear_Character_BP,100,,,,,,,,,,,,,,,,,,
Appa Bronto,80% of vanilla,/KalugasAppalachianDenizens/Dinos/Dinosaurs/AppalachianBrontosairis/ASauropod_Character_BP.ASauropod_Character_BP,Appa Bronto,/KalugasAppalachianDenizens/Dinos/Dinosaurs/AppalachianBrontosairis/ASauropod_Character_BP.ASauropod_Character_BP,50,Vanilla Bronto,/Game/PrimalEarth/Dinos/Sauropod/Sauropod_Character_BP.Sauropod_Character_BP,50,no idea,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Evo Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/EVO_Rex_Character_BP.EVO_Rex_Character_BP,Evo Rex,/PA_EVO_Pack_01/Dinos/EVO_Rex/EVO_Rex_Character_BP.EVO_Rex_Character_BP,48,Vanilla Rex,/Game/PrimalEarth/Dinos/Rex/Rex_Character_BP.Rex_Character_BP,47,Tek Rex,/Game/PrimalEarth/Dinos/Rex/BionicRex_Character_BP.BionicRex_Character_BP,5,,,,,,,,,,,,
Evo Giga,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Giga/EVO_Giga_Character_BP.EVO_Giga_Character_BP,Evo Giga,/PA_EVO_Pack_01/Dinos/EVO_Giga/EVO_Giga_Character_BP.EVO_Giga_Character_BP,50,Vanilla Giga,/Game/PrimalEarth/Dinos/Giganotosaurus/Gigant_Character_BP.Gigant_Character_BP,50,,,,,,,,,,,,,,,
Evo Bronto,replaces vanilla fully,/PA_EVO_Pack_03/Dinos/EVO_Bronto/EVO_Bronto_Character_BP.EVO_Bronto_Character_BP_C,Evo Bronto,/PA_EVO_Pack_03/Dinos/EVO_Bronto/EVO_Bronto_Character_BP.EVO_Bronto_Character_BP_C,50,Vanilla Bronto,/Game/PrimalEarth/Dinos/Sauropod/Sauropod_Character_BP.Sauropod_Character_BP,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shin Magmasaur,30% of pyromanes,/ShinsPortedCreatures/Dinos/Magmasaur/Magmasaur_Character_BP.Magmasaur_Character_BP,Vanilla Pyromane,/Game/ASA/Dinos/FireLion/FireLion_Character_BP.FireLion_Character_BP,100,,,,,,,,,,no idea,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Evo Therizino,replaces vanilla fully,/PA_EVO_Pack_03/Dinos/EVO_Therizino/EVO_Therizino_Character_BP.EVO_Therizino_Character_BP,Evo Therizino,/PA_EVO_Pack_03/Dinos/EVO_Therizino/EVO_Therizino_Character_BP.EVO_Therizino_Character_BP,50,Shad Therizino,/ShadsCritterReworks/Content/Theri/Therizino_Character_BP_Shad.Therizino_Character_BP_Shad,50,"doesnt work, wrong prio",,,,,,,,,,,,,,
Vanilla Fire Wyvern,,/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Fire.Wyvern_Character_BP_Fire,Shad Fire Wyvern,/ShadsCritterReworks/Content/Wyvern/Wyvern_Character_BP_Fire_Shad.Wyvern_Character_BP_Fire_Shad,100,,,,"test with arboreal, didnt work",,,,,,,,,,,,,,
Vanilla Poison Wyvern,,/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Poison.Wyvern_Character_BP_Poison,Shad Poison Wyvern,/ShadsCritterReworks/Content/Wyvern/Wyvern_Character_BP_Poison_Shad.Wyvern_Character_BP_Poison_Shad,100,,,,"test with arboreal, didnt work",,,,,,,,,,,,,,
Vanilla Lightning Wyvern,,/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Lightning.Wyvern_Character_BP_Lightning,Shad Lightning Wyvern,/ShadsCritterReworks/Content/Wyvern/Wyvern_Character_BP_Lightning_Shad.Wyvern_Character_BP_Lightning_Shad,100,,,,"test with arboreal, didnt work",,,,,,,,,,,,,,
Arbo Ember Wyvern,20% of Fire Wyvern,/Arboreal_Additions/OtherDLCs/CrystalWyverns/Ember/AA_Ember_CrystalWyvern_Character_BP.AA_Ember_CrystalWyvern_Character_BP,Shad Fire Wyvern,/ShadsCritterReworks/Content/Wyvern/Wyvern_Character_BP_Fire_Shad.Wyvern_Character_BP_Fire_Shad,100,,,,,,,vanilla fire wyverns spawn where ice wyverns previously did.,,,,,,,,,,,
Arbo Blood Wyvern,20% of Poison Wyvern,/Arboreal_Additions/OtherDLCs/CrystalWyverns/Blood/AA_Blood_CrystalWyvern_Character_BP.AA_Blood_CrystalWyvern_Character_BP,Shad Poison Wyvern,/ShadsCritterReworks/Content/Wyvern/Wyvern_Character_BP_Poison_Shad.Wyvern_Character_BP_Poison_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Trop Wyvern,20% of Lightning,/Arboreal_Additions/OtherDLCs/CrystalWyverns/Tropical/AA_Tropical_CrystalWyvern_Character_BP.AA_Tropical_CrystalWyvern_Character_BP,Shad Lightning Wyvern,/ShadsCritterReworks/Content/Wyvern/Wyvern_Character_BP_Lightning_Shad.Wyvern_Character_BP_Lightning_Shad,100,,,,,,,,,,,,,,,,,,
Arbo Andrew,15% of equus,/Arboreal_Additions/OtherDLCs/Andrewsarchus/AA_Andrewsarchus_Character_BP.AA_Andrewsarchus_Character_BP,Vanilla Equus,/Game/PrimalEarth/Dinos/Equus/Equus_Character_BP.Equus_Character_BP,100,,,,,,,,,,,,,,,,,,
Arbo Sino,15% of dimorph,/Arboreal_Additions/OtherDLCs/Sinomacrops/AA_Sinomacrops_Character_BP.AA_Sinomacrops_Character_BP,Shad Dimorphodon,/ShadsCritterReworks/Content/Dimorphodon/Dimorph_Character_BP_Shad.Dimorph_Character_BP_Shad,100,,,,,,,,,,,,,,,,,,
